seccion,coordenada,comparacion,operacion,ID,formulas
CNDHF_2022_M2_Secc4,I80,a1,ref,a1,NA
CNDHF_2022_M2_Secc4,S137,b1,ref,b1,NA
CNDHF_2022_M2_Secc4,Y135,a5,ref,a5,NA
CNDHF_2022_M2_Secc4,M136,a6,ref,a6,NA
CNDHF_2022_M2_Secc4,S136,a7,ref,a7,NA
CNDHF_2022_M2_Secc4,Y136,a8,ref,a8,NA
CNDHF_2022_M2_Secc4,M137,a9,ref,a9,NA
CNDHF_2022_M2_Secc4,AE282,W,ref,W,repetido
CNDHF_2022_M2_Secc4,AE299,W,ref,W,repetido
CNDHF_2022_M2_Secc4,M135,a3,ref,a3,NA
CNDHF_2022_M2_Secc4,Y137,b2,ref,b2,NA
CNDHF_2022_M2_Secc4,AE340,W,ref,W,repetido
CNDHF_2022_M2_Secc4,M253,b3,ref,b3,NA
CNDHF_2022_M2_Secc4,S253,b4,ref,b4,NA
CNDHF_2022_M2_Secc4,Y253,b5,ref,b5,NA
CNDHF_2022_M2_Secc4,C24,b6,ref,b6,NA
CNDHF_2022_M2_Secc4,AE367,W,ref,W,repetido
CNDHF_2022_M2_Secc4,S135,a4,ref,a4,NA
CNDHF_2022_M2_Secc4,AE267,W,ref,W,repetido
CNDHF_2022_M2_Secc4,AE179,W,ref,W,repetido
CNDHF_2022_M2_Secc4,M80,a2,ref,a2,NA
CNDHF_2022_M2_Secc4,AE130,W,ref,W,repetido
CNDHF_2022_M2_Secc4,AE148,W,ref,W,repetido
CNDHF_2022_M2_Secc4,AE386,W,ref,W,repetido
CNDHF_2022_M2_Secc4,AE203,W,ref,W,repetido
CNDHF_2022_M2_Secc4,AE239,W,ref,W,repetido
CNDHF_2022_M2_Secc4,C272,b3,menor,b3.1<,"=IF(AND(C272<=M253,OR(AND(ISNUMBER(M253),ISNUMBER(C272)),AND(ISBLANK(M253),ISBLANK(C272)),OR(AND(ISBLANK(M253),C272=""""),AND(ISBLANK(C272),M253="""")))),0,IF(OR(AND(C272=""NS"",M253>0,ISNUMBER(M253)),AND(C272=""NS"",M253=""NS""),OR(AND(M253=""NA"",C272=""NA""),AND(M253=""NA"",ISBLANK(C272)))),0,1))"
CNDHF_2022_M2_Secc4,M272,b4,menor,b4.1<,"=IF(AND(M272<=S253,OR(AND(ISNUMBER(S253),ISNUMBER(M272)),AND(ISBLANK(S253),ISBLANK(M272)),OR(AND(ISBLANK(S253),M272=""""),AND(ISBLANK(M272),S253="""")))),0,IF(OR(AND(M272=""NS"",S253>0,ISNUMBER(S253)),AND(M272=""NS"",S253=""NS""),OR(AND(S253=""NA"",M272=""NA""),AND(S253=""NA"",ISBLANK(M272)))),0,1))"
CNDHF_2022_M2_Secc4,V272,b5,menor,b5.1<,"=IF(AND(V272<=Y253,OR(AND(ISNUMBER(Y253),ISNUMBER(V272)),AND(ISBLANK(Y253),ISBLANK(V272)),OR(AND(ISBLANK(Y253),V272=""""),AND(ISBLANK(V272),Y253="""")))),0,IF(OR(AND(V272=""NS"",Y253>0,ISNUMBER(Y253)),AND(V272=""NS"",Y253=""NS""),OR(AND(Y253=""NA"",V272=""NA""),AND(Y253=""NA"",ISBLANK(V272)))),0,1))"
CNDHF_2022_M2_Secc4,Y257,a2,mayor,a2.4>,"=IF(AND(Y257>=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y257)),AND(ISBLANK(M80),ISBLANK(Y257)),OR(AND(ISBLANK(M80),Y257=""""),AND(ISBLANK(Y257),M80="""")))),0,IF(OR(AND(Y257=""NS"",M80>0,ISNUMBER(M80)),AND(Y257=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y257=""NA""),AND(M80=""NA"",ISBLANK(Y257)))),0,1))"
CNDHF_2022_M2_Secc4,Y357,a2,mayor,a2.7>,"=IF(AND(Y357>=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y357)),AND(ISBLANK(M80),ISBLANK(Y357)),OR(AND(ISBLANK(M80),Y357=""""),AND(ISBLANK(Y357),M80="""")))),0,IF(OR(AND(Y357=""NS"",M80>0,ISNUMBER(M80)),AND(Y357=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y357=""NA""),AND(M80=""NA"",ISBLANK(Y357)))),0,1))"
